i (mA/cm2), eta_a, eta_c, eta_ohmic, Eload, 
-1379.8727404477556, -0.25, 0.5279078945437321, -0.34496818511193889, 2.2604541467455483, 
-1308.5936677594957, -0.245, 0.52300318932670664, -0.32714841693987395, 2.2327296733564577, 
-1240.9507124395964, -0.23999999999999999, 0.51809507698958401, -0.31023767810989911, 2.2059108221893604, 
-1176.751942053193, -0.23499999999999999, 0.51318286349197173, -0.29418798551329822, 2.1799489160951473, 
-1115.8153602379373, -0.22999999999999998, 0.50826577287922614, -0.27895384005948431, 2.1547976800285875, 
-1057.9683787270012, -0.22499999999999998, 0.50334293803839292, -0.26449209468175028, 2.1304130998100206, 
-1003.0473167860173, -0.21999999999999997, 0.49841339034845505, -0.25076182919650436, 2.1067532866348366, 
-950.89692660323567, -0.21499999999999997, 0.49347604807614259, -0.23772423165080891, 2.0837783468168287, 
-901.3699432480937, -0.20999999999999996, 0.48852970334497453, -0.22534248581202343, 2.0614502562468751, 
-854.32665788509496, -0.20499999999999996, 0.48357300747722326, -0.21358166447127375, 2.0397327390383744, 
-809.63451299789779, -0.19999999999999996, 0.47860445447502103, -0.20240862824947445, 2.0185911498143727, 
-767.16771844273217, -0.19499999999999995, 0.47362236236670147, -0.19179192961068306, 1.9979923590672617, 
-726.80688721120373, -0.18999999999999995, 0.46862485209608945, -0.18170172180280092, 1.9779046409887675, 
-688.43868984001142, -0.18500000000000005, 0.46360982357379704, -0.17210967246000286, 1.9582975631236772, 
-651.95552645967052, -0.17999999999999994, 0.45857492843822928, -0.16298888161491762, 1.939141877143024, 
-617.25521552579266, -0.17500000000000004, 0.45351753898657693, -0.15431380388144816, 1.9204094099579023, 
-584.24069832521604, -0.17000000000000004, 0.44843471262849738, -0.14606017458130402, 1.9020729542996788, 
-552.81975839538393, -0.16500000000000004, 0.44332315108195469, -0.13820493959884597, 1.8841061577706779, 
-522.90475503888547, -0.16000000000000003, 0.43817915336475804, -0.13072618875972136, 1.8664834092143567, 
-494.41237015626666, -0.15500000000000003, 0.43299856142729737, -0.12360309253906668, 1.8491797210562413, 
-467.26336765911049, -0.15000000000000002, 0.42777669700945226, -0.11681584191477762, 1.832170606014107, 
-441.38236476213251, -0.14500000000000002, 0.42250828797097822, -0.11034559119053314, 1.8154319462513886, 
-416.69761448771919, -0.14000000000000001, 0.41718738191749954, -0.1041744036219298, 1.7989398526293066, 
-393.14079874909032, -0.13500000000000001, 0.4118072443928687, -0.098285199687272576, 1.7826705111700185, 
-370.64683140915542, -0.13, 0.40636023819118566, -0.09266170785228886, 1.7666000131333517, 
-349.15367074127886, -0.125, 0.40083767939958531, -0.087288417685319711, 1.7507041641747823, 
-328.60214074560395, -0.12, 0.39522966453381664, -0.082150535186400975, 1.7349582668100947, 
-308.93576080046068, -0.11499999999999999, 0.38952486145556059, -0.077233940200115161, 1.719336868745553, 
-290.1005831527159, -0.10999999999999999, 0.3837102544944902, -0.07252514578817898, 1.7038134673725462, 
-272.04503777382217, -0.10499999999999998, 0.37777083109229953, -0.068011259443455541, 1.6883601576256324, 
-254.71978412981616, -0.099999999999999978, 0.37168919297372666, -0.063679946032454041, 1.672947206096058, 
-238.07756943371555, -0.094999999999999973, 0.36544506877741406, -0.059519392358428888, 1.6575425282257201, 
-222.07309296768781, -0.089999999999999969, 0.3590146963970457, -0.055518273241921955, 1.6421110367288447, 
-206.66287608009239, -0.084999999999999964, 0.35237003065823586, -0.0516657190200231, 1.6266138167681361, 
-191.80513747905604, -0.07999999999999996, 0.34547771325679438, -0.047951284369764015, 1.6110070647164356, 
-177.45967345971479, -0.074999999999999956, 0.33829771361550681, -0.044364918364928695, 1.5952406990703127, 
-163.58774271665527, -0.070000000000000062, 0.33078150560389846, -0.040896935679163811, 1.5792565083729397, 
-150.1519554064821, -0.064999999999999947, 0.32286957573881109, -0.037537988851620525, 1.5629856316803088, 
-137.11616613783741, -0.060000000000000053, 0.31448794536087282, -0.034279041534459348, 1.5463450539852095, 
-124.44537057766568, -0.054999999999999938, 0.30554319865104979, -0.03111134264441642, 1.5292326083853434, 
-112.10560537309141, -0.050000000000000044, 0.29591517506491499, -0.028026401343272854, 1.5115196434980651, 
-100.0638510979206, -0.044999999999999929, 0.28544587681526162, -0.025015962774480149, 1.4930399066796189, 
-88.28793794165658, -0.040000000000000036, 0.27392197688041725, -0.022071984485414142, 1.4735720284557088, 
-76.746453866874447, -0.035000000000000031, 0.26104594584100788, -0.019186613466718613, 1.4528106263976037, 
-65.40865496805047, -0.030000000000000027, 0.24638565902310156, -0.016352163742012617, 1.4303158898549915, 
-54.244377771333099, -0.025000000000000022, 0.22928011769381479, -0.013561094442833274, 1.4054192792265252, 
-43.223953220433934, -0.020000000000000018, 0.20864673293414532, -0.010805988305108483, 1.3770307883291311, 
-32.318122098725993, -0.015000000000000013, 0.18253925308083646, -0.0080795305246814976, 1.3431968506953953, 
